sample_ID_EPFL	Sample name	title	CEL file	source name	organism	characteristics: organism_NCBI_txid	characteristics: strain	characteristics: genotype_qc	characteristics: sex	characteristics: age	characteristics: diet_ID	characteristics: diet_description	characteristics: dietary_intervention	characteristics: diet_composition	characteristics: diet_REF	characteristics: tissue	characteristics: tissue_REF	characteristics: tissue_sample_ID	characteristics: mean_extracted_RNA_concentration_before pooling	characteristics: mean_extracted_RNA_concentration_before pooling_unit	characteristics: mean_nanodrop_260_280_ratio_before_pooling	characteristics: mean_nanodrop_260_230_ratio_before_pooling	characteristics: assay_date	characteristics: notes	characteristics: geo_accession	platform	molecule	label	description	solvent	platform_name	data
BXD62_CD_scWAT	GSM2083636_62_CD_scWAT.CEL	BXD62-subcutaneous adipose tissue-CD	GSM2083636_62_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD62	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD62_CD_191,BXD62_CD_192,BXD62_CD_193,BXD62_CD_194	357.375	ng/ul	1.7425	0.5475	2016-01-27		GSM2083636	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD62 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083636/suppl/GSM2083636_62_CD_scWAT.CEL.gz
BXD62_HFD_scWAT	GSM2083637_62_HFD_scWAT.CEL	BXD62-subcutaneous adipose tissue-HFD	GSM2083637_62_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD62	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD62_HFD_196,BXD62_HFD_197,BXD62_HFD_198,BXD62_HFD_199	379.9	ng/ul	1.775	0.5275	2016-01-28		GSM2083637	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD62 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083637/suppl/GSM2083637_62_HFD_scWAT.CEL.gz
BXD63_CD_scWAT	GSM2083638_63_CD_scWAT.CEL	BXD63-subcutaneous adipose tissue-CD	GSM2083638_63_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD63	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	NA	NA	ng/ul	NA	NA	2016-01-27		GSM2083638	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD63 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083638/suppl/GSM2083638_63_CD_scWAT.CEL.gz
BXD63_HFD_scWAT	GSM2083639_63_HFD_scWAT.CEL	BXD63-subcutaneous adipose tissue-HFD	GSM2083639_63_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD63	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD63_HFD_186,BXD63_HFD_188,BXD63_HFD_189	233.7	ng/ul	1.70666666666667	0.42	2016-01-28		GSM2083639	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD63 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083639/suppl/GSM2083639_63_HFD_scWAT.CEL.gz
BXD64_CD_scWAT	GSM2083640_64_CD_scWAT.CEL	BXD64-subcutaneous adipose tissue-CD	GSM2083640_64_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD64	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD64_CD_316,BXD64_CD_317,BXD64_CD_318,BXD64_CD_319	305.975	ng/ul	1.7525	0.5775	2016-01-27		GSM2083640	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD64 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083640/suppl/GSM2083640_64_CD_scWAT.CEL.gz
BXD64_HFD_scWAT	GSM2083641_64_HFD_scWAT.CEL	BXD64-subcutaneous adipose tissue-HFD	GSM2083641_64_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD64	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD64_HFD_311,BXD64_HFD_312,BXD64_HFD_313,BXD64_HFD_314	287.175	ng/ul	1.7575	0.6225	2016-01-28		GSM2083641	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD64 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083641/suppl/GSM2083641_64_HFD_scWAT.CEL.gz
BXD65_CD_scWAT	GSM2083642_65_CD_scWAT.CEL	BXD65-subcutaneous adipose tissue-CD	GSM2083642_65_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD65	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD65_CD_261	318	ng/ul	1.72	0.86	2016-01-27		GSM2083642	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD65 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083642/suppl/GSM2083642_65_CD_scWAT.CEL.gz
BXD65_HFD_scWAT	GSM2083643_65_HFD_scWAT.CEL	BXD65-subcutaneous adipose tissue-HFD	GSM2083643_65_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD65	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD65_HFD_269	280.6	ng/ul	1.71	0.69	2016-01-29		GSM2083643	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD65 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083643/suppl/GSM2083643_65_HFD_scWAT.CEL.gz
BXD66_CD_scWAT	GSM2083644_66_CD_scWAT.CEL	BXD66-subcutaneous adipose tissue-CD	GSM2083644_66_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD66	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD66_CD_101,BXD66_CD_102,BXD66_CD_104,BXD66_CD_105	332.55	ng/ul	1.7125	0.4975	2016-01-27		GSM2083644	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD66 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083644/suppl/GSM2083644_66_CD_scWAT.CEL.gz
BXD66_HFD_scWAT	GSM2083645_66_HFD_scWAT.CEL	BXD66-subcutaneous adipose tissue-HFD	GSM2083645_66_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD66	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD66_HFD_107,BXD66_HFD_108,BXD66_HFD_109,BXD66_HFD_110	378.4	ng/ul	1.765	0.515	2016-01-29		GSM2083645	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD66 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083645/suppl/GSM2083645_66_HFD_scWAT.CEL.gz
BXD68_CD_scWAT	GSM2083646_68_CD_scWAT.CEL	BXD68-subcutaneous adipose tissue-CD	GSM2083646_68_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD68	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD68_CD_335,BXD68_CD_334,BXD68_CD_331	425	ng/ul	1.72666666666667	0.466666666666667	2016-01-27		GSM2083646	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD68 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083646/suppl/GSM2083646_68_CD_scWAT.CEL.gz
BXD68_HFD_scWAT	GSM2083647_68_HFD_scWAT.CEL	BXD68-subcutaneous adipose tissue-HFD	GSM2083647_68_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD68	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD68_HFD_336,BXD68_HFD_337,BXD68_HFD_338,BXD68_HFD_339	571.925	ng/ul	1.735	1.23	2016-01-29		GSM2083647	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD68 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083647/suppl/GSM2083647_68_HFD_scWAT.CEL.gz
BXD69_CD_scWAT	GSM2083648_69_CD_scWAT.CEL	BXD69-subcutaneous adipose tissue-CD	GSM2083648_69_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD69	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD69_CD_251,BXD69_CD_252,BXD69_CD_253,BXD69_CD_254	1011.275	ng/ul	1.795	0.7225	2016-01-27		GSM2083648	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD69 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083648/suppl/GSM2083648_69_CD_scWAT.CEL.gz
BXD69_HFD_scWAT	GSM2083649_69_HFD_scWAT.CEL	BXD69-subcutaneous adipose tissue-HFD	GSM2083649_69_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD69	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD69_HFD_256,BXD69_HFD_258,BXD69_HFD_259,BXD69_HFD_260	437.775	ng/ul	1.8225	0.715	2016-01-29		GSM2083649	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD69 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083649/suppl/GSM2083649_69_HFD_scWAT.CEL.gz
BXD70_CD_scWAT	GSM2083650_70_CD_scWAT.CEL	BXD70-subcutaneous adipose tissue-CD	GSM2083650_70_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD70	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD70_CD_61,BXD70_CD_62,BXD70_CD_64	319.766666666667	ng/ul	1.75	0.453333333333333	2016-01-27		GSM2083650	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD70 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083650/suppl/GSM2083650_70_CD_scWAT.CEL.gz
BXD70_HFD_scWAT	GSM2083651_70_HFD_scWAT.CEL	BXD70-subcutaneous adipose tissue-HFD	GSM2083651_70_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD70	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD70_HFD_67,BXD70_HFD_68,BXD70_HFD_70	285.466666666667	ng/ul	1.73	0.41	2016-01-29		GSM2083651	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD70 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083651/suppl/GSM2083651_70_HFD_scWAT.CEL.gz
BXD71_CD_scWAT	GSM2083652_71_CD_scWAT.CEL	BXD71-subcutaneous adipose tissue-CD	GSM2083652_71_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD71	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD71_CD_364,BXD71_CD_363,BXD71_CD_362,BXD71_CD_361	521.375	ng/ul	1.74	0.5675	2016-01-27		GSM2083652	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD71 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083652/suppl/GSM2083652_71_CD_scWAT.CEL.gz
BXD71_HFD_scWAT	GSM2083653_71_HFD_scWAT.CEL	BXD71-subcutaneous adipose tissue-HFD	GSM2083653_71_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD71	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD71_HFD_366,BXD71_HFD_367,BXD71_HFD_369	880.5	ng/ul	1.77	1.28666666666667	2016-01-29		GSM2083653	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD71 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083653/suppl/GSM2083653_71_HFD_scWAT.CEL.gz
BXD73_CD_scWAT	GSM2083654_73_CD_scWAT.CEL	BXD73-subcutaneous adipose tissue-CD	GSM2083654_73_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD73	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD73_CD_41,BXD73_CD_42,BXD73_CD_43,BXD73_CD_44	263.7	ng/ul	1.6975	0.405	2016-01-27		GSM2083654	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD73 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083654/suppl/GSM2083654_73_CD_scWAT.CEL.gz
BXD73_HFD_scWAT	GSM2083655_73_HFD_scWAT.CEL	BXD73-subcutaneous adipose tissue-HFD	GSM2083655_73_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD73	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD73_HFD_46,BXD73_HFD_47,BXD73_HFD_48,BXD73_HFD_50	368.125	ng/ul	1.7775	0.505	2016-01-29		GSM2083655	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD73 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083655/suppl/GSM2083655_73_HFD_scWAT.CEL.gz
BXD75_CD_scWAT	GSM2083656_75_CD_scWAT.CEL	BXD75-subcutaneous adipose tissue-CD	GSM2083656_75_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD75	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD75_CD_72,BXD75_CD_73,BXD75_CD_74,BXD75_CD_75	343.925	ng/ul	1.775	0.5025	2016-01-27		GSM2083656	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD75 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083656/suppl/GSM2083656_75_CD_scWAT.CEL.gz
BXD75_HFD_scWAT	GSM2083657_75_HFD_scWAT.CEL	BXD75-subcutaneous adipose tissue-HFD	GSM2083657_75_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD75	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD75_HFD_77,BXD75_HFD_78,BXD75_HFD_79,BXD75_HFD_80	720.05	ng/ul	1.785	0.5725	2016-01-29		GSM2083657	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD75 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083657/suppl/GSM2083657_75_HFD_scWAT.CEL.gz
BXD79_CD_scWAT	GSM2083658_79_CD_scWAT.CEL	BXD79-subcutaneous adipose tissue-CD	GSM2083658_79_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD79	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD79_CD_443,BXD79_CD_442,BXD79_CD_441	414.566666666667	ng/ul	1.78333333333333	0.546666666666667	2016-01-27		GSM2083658	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD79 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083658/suppl/GSM2083658_79_CD_scWAT.CEL.gz
BXD79_HFD_scWAT	GSM2083659_79_HFD_scWAT.CEL	BXD79-subcutaneous adipose tissue-HFD	GSM2083659_79_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD79	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD79_HFD_446,BXD79_HFD_447,BXD79_HFD_448,BXD79_HFD_449	362.4	ng/ul	1.78	0.5325	2016-01-29		GSM2083659	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD79 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083659/suppl/GSM2083659_79_HFD_scWAT.CEL.gz
BXD80_CD_scWAT	GSM2083660_80_CD_scWAT.CEL	BXD80-subcutaneous adipose tissue-CD	GSM2083660_80_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD80	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD80_CD_112,BXD80_CD_112,BXD80_CD_113,BXD80_CD_113,BXD80_CD_114,BXD80_CD_115,BXD80_CD_115	523.285714285714	ng/ul	1.72428571428571	0.532857142857143	2016-01-27		GSM2083660	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD80 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083660/suppl/GSM2083660_80_CD_scWAT.CEL.gz
BXD80_HFD_scWAT	GSM2083661_80_HFD_scWAT.CEL	BXD80-subcutaneous adipose tissue-HFD	GSM2083661_80_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD80	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD80_HFD_117,BXD80_HFD_118,BXD80_HFD_119,BXD80_HFD_120	685.75	ng/ul	1.7725	0.6025	2016-01-29		GSM2083661	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD80 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083661/suppl/GSM2083661_80_HFD_scWAT.CEL.gz
