sample_ID_EPFL	Sample name	title	CEL file	source name	organism	characteristics: organism_NCBI_txid	characteristics: strain	characteristics: genotype_qc	characteristics: sex	characteristics: age	characteristics: diet_ID	characteristics: diet_description	characteristics: dietary_intervention	characteristics: diet_composition	characteristics: diet_REF	characteristics: tissue	characteristics: tissue_REF	characteristics: tissue_sample_ID	characteristics: mean_extracted_RNA_concentration_before pooling	characteristics: mean_extracted_RNA_concentration_before pooling_unit	characteristics: mean_nanodrop_260_280_ratio_before_pooling	characteristics: mean_nanodrop_260_230_ratio_before_pooling	characteristics: assay_date	characteristics: notes	characteristics: geo_accession	platform	molecule	label	description	solvent	platform_name	data
BXD50_CD_scWAT	GSM2083626_50_CD_scWAT.CEL	BXD50-subcutaneous adipose tissue-CD	GSM2083626_50_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD50	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD50_CD_421,BXD50_CD_423,BXD50_CD_424,BXD50_CD_425	327.4	ng/ul	1.755	0.48	2016-01-27		GSM2083626	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD50 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083626/suppl/GSM2083626_50_CD_scWAT.CEL.gz
BXD50_HFD_scWAT	GSM2083627_50_HFD_scWAT.CEL	BXD50-subcutaneous adipose tissue-HFD	GSM2083627_50_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD50	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD50_HFD_452,BXD50_HFD_453,BXD50_HFD_454,BXD50_HFD_455	312.025	ng/ul	1.745	0.51	2016-01-28		GSM2083627	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD50 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083627/suppl/GSM2083627_50_HFD_scWAT.CEL.gz
BXD51_CD_scWAT	GSM2083628_51_CD_scWAT.CEL	BXD51-subcutaneous adipose tissue-CD	GSM2083628_51_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD51	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD51_CD_22,BXD51_CD_23,BXD51_CD_25	382.166666666667	ng/ul	1.72666666666667	0.553333333333333	2016-01-27		GSM2083628	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD51 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083628/suppl/GSM2083628_51_CD_scWAT.CEL.gz
BXD51_HFD_scWAT	GSM2083629_51_HFD_scWAT.CEL	BXD51-subcutaneous adipose tissue-HFD	GSM2083629_51_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD51	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD51_HFD_26,BXD51_HFD_27,BXD51_HFD_28,BXD51_HFD_30	336.275	ng/ul	1.695	0.4225	2016-01-28		GSM2083629	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD51 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083629/suppl/GSM2083629_51_HFD_scWAT.CEL.gz
BXD55_CD_scWAT	GSM2083630_55_CD_scWAT.CEL	BXD55-subcutaneous adipose tissue-CD	GSM2083630_55_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD55	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD55_CD_52,BXD55_CD_54,BXD55_CD_55	299.066666666667	ng/ul	1.72666666666667	0.453333333333333	2016-01-27		GSM2083630	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD55 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083630/suppl/GSM2083630_55_CD_scWAT.CEL.gz
BXD55_HFD_scWAT	GSM2083631_55_HFD_scWAT.CEL	BXD55-subcutaneous adipose tissue-HFD	GSM2083631_55_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD55	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD55_HFD_56,BXD55_HFD_57,BXD55_HFD_58,BXD55_HFD_60	253.225	ng/ul	1.71	0.3825	2016-01-28		GSM2083631	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD55 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083631/suppl/GSM2083631_55_HFD_scWAT.CEL.gz
BXD56_CD_scWAT	GSM2083632_56_CD_scWAT.CEL	BXD56-subcutaneous adipose tissue-CD	GSM2083632_56_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD56	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD56_CD_401,BXD56_CD_403,BXD56_CD_404	720.4	ng/ul	1.77	1.29333333333333	2016-01-27		GSM2083632	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD56 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083632/suppl/GSM2083632_56_CD_scWAT.CEL.gz
BXD60_CD_scWAT	GSM2083633_60_CD_scWAT.CEL	BXD60-subcutaneous adipose tissue-CD	GSM2083633_60_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD60	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD60_CD_212,BXD60_CD_213,BXD60_CD_214,BXD60_CD_215	422.35	ng/ul	1.775	0.88	2016-01-27		GSM2083633	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD60 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083633/suppl/GSM2083633_60_CD_scWAT.CEL.gz
BXD61_CD_scWAT	GSM2083634_61_CD_scWAT.CEL	BXD61-subcutaneous adipose tissue-CD	GSM2083634_61_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD61	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD61_CD_81,BXD61_CD_82,BXD61_CD_83,BXD61_CD_84,BXD61_CD_85	645.78	ng/ul	1.748	0.472	2016-01-27		GSM2083634	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD61 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083634/suppl/GSM2083634_61_CD_scWAT.CEL.gz
BXD61_HFD_scWAT	GSM2083635_61_HFD_scWAT.CEL	BXD61-subcutaneous adipose tissue-HFD	GSM2083635_61_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD61	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD61_HFD_86,BXD61_HFD_87	490.25	ng/ul	1.675	0.39	2016-01-28		GSM2083635	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD61 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083635/suppl/GSM2083635_61_HFD_scWAT.CEL.gz
